"Term","OLS","OLS_SE","LMER","LMER_SE","FastMix","FastMix_SE"
"(Intercept)",1.99604069425847,0.511050145464485,1.99570570137451,0.0882713586422625,1.99514356096412,0.0896461693493675
"X1",0.996235531829998,0.15037156989772,0.998264147240034,0.0445274816911374,0.997979556630178,0.0457210357922279
"X2",1.9965608863833,0.245152044953243,1.99764571860724,0.11399385445608,1.99501848111504,0.116305495636723
"X3",-0.994132772301162,0.269112234049744,-0.999267174207825,0.0856492082914351,-0.999282347605562,0.0875718324072875
